"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-23","0.52",,,"58","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-24","0.35",,,"56","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-25","0.03",,,"60","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-26","0.00",,,"63","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-27","0.75",,,"61","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-28","0.03",,,"62","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-01","0.00",,,"58","29",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-02","0.00",,,"56","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-03","1.61",,,"52","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-04","0.00",,,"55","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-05","0.00",,,"63","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-06","0.00",,,"67","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-07","0.00",,,"70","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-08","0.00",,,"76","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-09","0.00",,,"78","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-10","0.00",,,"78","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-11","0.00",,,"70","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-12","1.54",,,"54","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-13","0.07",,,"54","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-14","0.11",,,"56","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-15","0.03",,,"58","29",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-16","0.00",,,"55","31",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-17","0.13",,,"57","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-18","0.00",,,"56","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-19","0.00",,,"56","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-20","0.40",,,"55","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-21","0.20",,,"58","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-22","0.84",,,"62","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-23","0.43",,,"64","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-24","1.64",,,"66","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-25","0.64",,,"68","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-26","0.54",,,"65","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-27","0.00",,,"68","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-28","0.00",,,"70","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-29","0.00",,,"66","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-30","0.00",,,"68","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-03-31","2.71",,,"67","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-01","0.00",,,"58","30",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-02","0.00",,,"70","31",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-03","0.00",,,"68","35",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-04","0.00",,,"72","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-05","0.00",,,"81","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-06","0.00",,,"79","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-07","0.00",,,"84","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-08","0.00",,,"71","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-09","0.11",,,"73","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-10","0.05",,,"71","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-11","0.00",,,"74","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-12","0.00",,,"75","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-13","0.00",,,"78","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-14","0.00",,,"78","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-15","0.00",,,"82","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-16","0.00",,,"76","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-17","0.00",,,"73","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-18","0.00",,,"83","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-19","0.00",,,"83","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-20","0.00",,,"82","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-21","0.00",,,"86","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-22","0.00",,,"84","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-23","0.50",,,"66","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-24","0.00",,,"62","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-25","0.00",,,"64","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-26","0.00",,,"63","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-27","1.64",,,"70","38",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-28","0.00",,,"68","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-29","0.10",,,"72","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-04-30","0.00",,,"74","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-01","0.00",,,"73","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-02","0.00",,,"86","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-03","0.00",,,"83","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-04","0.00",,,"88","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-05","0.00",,,"85","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-06","0.00",,,"84","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-07","0.00",,,"89","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-08","0.00",,,"89","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-09","0.00",,,"87","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-10","0.22",,,"78","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-11","0.07",,,"72","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-12","0.00",,,"74","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-13","0.00",,,"72","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-14","0.31",,,"67","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-15","0.00",,,"67","37",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-16","0.00",,,"71","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-17","0.00",,,"72","38",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-18","0.00",,,"74","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-19","0.00",,,"79","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-20","0.00",,,"75","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-21","0.34",,,"75","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-22","0.00",,,"79","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-23","0.00",,,"80","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-24","0.00",,,"74","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-25","1.45",,,"62","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-26","0.09",,,"66","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-27","0.00",,,,,
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-28","0.36",,,"65","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-29","0.01",,,"68","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-30","0.00",,,"77","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-05-31","0.00",,,"80","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-01","0.00",,,"87","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-02","0.00",,,"80","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-03","0.60",,,"70","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-04","0.00",,,"69","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-05","0.16",,,"72","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-06","0.00",,,"73","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-07","0.00",,,"76","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-08","0.00",,,"80","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-09","0.00",,,"80","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-10","0.00",,,"81","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-11","0.17",,,"76","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-12","0.00",,,"76","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-13","0.00",,,"80","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-14","0.00",,,"81","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-15","0.66",,,"77","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-16","0.00",,,"79","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-17","0.00",,,"91","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-18","0.00",,,"96","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-19","0.00",,,"97","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-20","0.00",,,"100","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-21","0.00",,,"94","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-22","0.00",,,"95","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-23","0.00",,,"97","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-24","0.00",,,"96","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-25","0.00",,,"88","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-26","0.00",,,"76","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-27","0.00",,,"74","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-28","0.00",,,"82","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-29","0.00",,,"89","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-06-30","0.00",,,"99","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-01","0.00",,,"106","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-02","0.00",,,"103","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-03","0.00",,,"102","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-04","0.00",,,"105","61",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-05","0.00",,,"105","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-06","0.00",,,"105","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-07","0.00",,,"107","66",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-08","0.00",,,"104","69",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-09","0.00",,,"96","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-10","0.00",,,"106","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-11","0.00",,,"106","61",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-12","0.00",,,"108","65",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-13","0.00",,,"105","66",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-14","0.00",,,"104","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-15","0.00",,,"101","62",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-16","0.00",,,"95","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-17","0.00",,,"100","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-18","0.00",,,"102","62",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-19","0.00",,,"103","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-20","0.00",,,"95","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-21","0.00",,,"99","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-22","0.00",,,"103","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-23","0.00",,,"108","62",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-24","0.00",,,"112","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-25","0.00",,,"108","62",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-26","0.00",,,"101","64",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-27","0.00",,,"95","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-28","0.00",,,"98","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-29","0.00",,,"100","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-30","0.00",,,"102","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-07-31","0.00",,,"102","59",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-01","0.00",,,"103","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-02","0.00",,,"98","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-03","0.00",,,"100","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-04","0.00",,,"103","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-05","0.00",,,"101","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-06","0.00",,,"95","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-07","0.00",,,"99","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-08","0.00",,,"101","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-09","0.00",,,"103","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-10","0.00",,,"100","74",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-11","0.00",,,"105","71",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-12","0.00",,,"104","62",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-13","0.00",,,"100","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-14","0.00",,,"104","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-15","0.00",,,"106","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-16","0.00",,,"104","58",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-17","0.00",,,"101","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-18","0.00",,,"99","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-19","0.00",,,"96","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-20","0.00",,,"90","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-21","0.00",,,"90","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-22","0.00",,,"85","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-23","0.00",,,"90","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-24","0.00",,,"96","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-25","0.00",,,"99","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-26","0.00",,,"102","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-27","0.00",,,"102","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-28","0.00",,,"101","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-29","0.00",,,"100","65",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-30","0.00",,,"95","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-08-31","0.00",,,"92","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-01","0.00",,,"94","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-02","0.00",,,"96","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-03","0.00",,,"94","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-04","0.00",,,"90","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-05","0.00",,,"96","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-06","0.00",,,"99","57",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-07","0.00",,,"100","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-08","0.00",,,"97","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-09","0.00",,,"95","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-10","0.00",,,"90","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-11","0.00",,,"93","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-12","0.00",,,"92","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-13","0.00",,,"85","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-14","0.00",,,"84","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-15","0.00",,,"88","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-16","0.00",,,"94","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-17","0.00",,,"97","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-18","0.00",,,"98","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-19","0.00",,,"101","60",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-20","0.00",,,"96","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-21","0.00",,,"93","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-22","0.00",,,"92","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-23","0.38",,,"82","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-24","0.00",,,"84","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-25","0.00",,,"94","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-26","0.00",,,"92","56",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-27","0.00",,,"96","54",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-28","0.00",,,"98","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-29","0.00",,,"98","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-09-30","0.00",,,"99","50",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-01","0.00",,,"96","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-02","0.00",,,"93","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-03","0.00",,,"93","55",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-04","0.00",,,"90","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-05","0.00",,,"93","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-06","0.00",,,"93","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-07","0.00",,,"95","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-08","0.00",,,"96","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-09","0.00",,,"97","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-10","0.00",,,"91","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-11","0.00",,,"90","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-12","0.00",,,"85","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-13","0.00",,,"94","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-14","0.00",,,"89","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-15","0.00",,,"90","48",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-16","0.00",,,"79","61",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-17","0.00",,,"75","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-18","0.00",,,"74","32",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-19","0.00",,,"70","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-20","0.00",,,"74","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-21","0.00",,,"76","33",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-22","0.00",,,"81","33",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-23","0.00",,,"77","33",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-24","0.00",,,"83","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-25","0.00",,,"84","35",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-26","0.00",,,"93","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-27","0.00",,,"93","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-28","0.00",,,"81","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-29","0.00",,,"85","47",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-30","0.00",,,"74","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-10-31","0.05",,,"78","53",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-01","0.00",,,"78","34",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-02","0.55",,,"64","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-03","0.48",,,"62","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-04","0.72",,,"64","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-05","0.08",,,"66","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-06","0.00",,,"74","34",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-07","0.00",,,"77","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-08","0.00",,,"76","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-09","0.00",,,"75","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-10","0.00",,,"81","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-11","0.00",,,"79","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-11-12","0.00",,,"72","45",
